"","season","course","perm_tourn","round","hole","shot_num","player","shot_degrees","aim_degrees","mins_since_obs","last_wind_speed","last_wind_gust","last_wind_dir_degrees","last_wind_dir","mean_wind_2hrs_before","rain_2_hrs_before","rain_4_hrs_before","rain_6_hrs_before","rain_12_hrs_before","rain_18_hrs_before","rain_24_hrs_before","rain_36_hrs_before","rain_48_hrs_before"
"1",2017,552,464,1,1,1,1810,21.7011534571841,15.6543840203653,47,8,NA,220,"SW",8.1,0,0,0,0,0,0,0,0
"2",2017,552,464,1,1,2,1810,14.6060501423344,12.9270822646239,52,8,NA,220,"SW",8.1,0,0,0,0,0,0,0,0
"3",2017,552,464,1,1,3,1810,356.777252157263,356.994408189548,56,8,NA,220,"SW",8.1,0,0,0,0,0,0,0,0
"4",2017,552,464,1,1,4,1810,12.5224934288795,0.484798872122937,58,8,NA,220,"SW",8.1,0,0,0,0,0,0,0,0
"5",2017,552,464,1,1,5,1810,205.367404462456,205.367404462456,58,8,NA,220,"SW",8.1,0,0,0,0,0,0,0,0
"6",2017,552,464,1,2,1,1810,316.396145346856,310.990687419592,3,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"7",2017,552,464,1,2,2,1810,179.07983732938,187.236493168554,6,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"8",2017,552,464,1,2,3,1810,206.550282320712,210.951009458379,9,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"9",2017,552,464,1,2,4,1810,8.14582999017948,8.14582999017948,9,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"10",2017,552,464,1,3,1,1810,10.9000957873186,8.70441224622095,14,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"11",2017,552,464,1,3,2,1810,339.74958353186,341.011568955078,19,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"12",2017,552,464,1,3,3,1810,66.8347471484985,66.8347471484985,27,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"13",2017,552,464,1,4,1,1810,11.2317230162546,12.9147424226896,30,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"14",2017,552,464,1,4,2,1810,348.067873789673,348.635817208323,35,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"15",2017,552,464,1,4,3,1810,51.0318118970065,51.0318118970065,41,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"16",2017,552,464,1,5,1,1810,113.72443668459,112.411227884271,45,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"17",2017,552,464,1,5,2,1810,117.95189789049,121.406008849597,55,11,NA,210,"SSW",9.8,0,0,0,0,0,0,0,0
"18",2017,552,464,1,5,3,1810,241.428899763443,241.738317633132,0,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"19",2017,552,464,1,5,4,1810,56.8310381676766,56.8310381676766,3,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"20",2017,552,464,1,6,1,1810,193.151521292567,197.843298814416,5,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"21",2017,552,464,1,6,2,1810,209.641181842162,210.469242623892,10,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"22",2017,552,464,1,6,3,1810,15.0988823142624,16.3793569801579,14,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"23",2017,552,464,1,6,4,1810,44.4404046206104,44.4404046206104,14,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"24",2017,552,464,1,7,1,1810,101.118713533066,102.89735093978,21,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"25",2017,552,464,1,7,2,1810,165.393548985512,163.331913513345,27,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"26",2017,552,464,1,7,3,1810,43.658508575308,43.658508575308,30,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"27",2017,552,464,1,8,1,1810,135.644442776539,138.904271213796,32,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"28",2017,552,464,1,8,2,1810,122.131543178291,120.53381195582,39,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"29",2017,552,464,1,8,3,1810,310.017827954888,318.565473277794,43,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"30",2017,552,464,1,8,4,1810,353.870303771261,353.870303771261,43,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"31",2017,552,464,1,9,1,1810,238.930376109324,234.866837241223,47,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"32",2017,552,464,1,9,2,1810,190.794893885908,204.521921576942,54,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"33",2017,552,464,1,9,3,1810,206.468129603703,209.154266809383,56,11,NA,200,"SSW",11.5,0,0,0,0,0,0,0,0
"34",2017,552,464,1,9,4,1810,354.901480134759,351.831896906085,0,13,NA,190,"South",12.65,0,0,0,0,0,0,0,0
"35",2017,552,464,1,9,5,1810,184.792097282868,184.792097282868,2,13,NA,190,"South",12.65,0,0,0,0,0,0,0,0
"36",2017,552,464,1,10,1,1810,23.188870898693,27.8273703428543,8,13,NA,190,"South",12.65,0,0,0,0,0,0,0,0
