"season";"course";"perm_tourn";"round";"hole";"shot_num";"player";"shot_degrees";"target_degrees";"wind_target_angle_diff";"mins_since_obs";"last_wind_speed";"last_wind_gust";"last_wind_dir_degrees";"last_wind_dir";"mean_wind_2hrs_before";"rain_1_hrs_before";"rain_2_hrs_before";"rain_4_hrs_before";"rain_6_hrs_before";"rain_12_hrs_before";"rain_18_hrs_before";"rain_24_hrs_before";"rain_36_hrs_before";"rain_48_hrs_before"
2017;552;464;1;1;1;1810;21.701116215117;15.6541732705012;340;47;8;0;220;"SW";8.1;0;0;0;0;0;0;0;0;0
2017;552;464;1;1;2;1810;14.6060849056635;12.9272041672366;330;52;8;0;220;"SW";8.1;0;0;0;0;0;0;0;0;0
2017;552;464;1;1;3;1810;356.77999147873;356.995765685182;320;56;8;0;220;"SW";8.1;0;0;0;0;0;0;0;0;0
2017;552;464;1;1;4;1810;12.4947211177478;0.462585631070965;320;58;8;0;220;"SW";8.1;0;0;0;0;0;0;0;0;0
2017;552;464;1;1;5;1810;205.336122287101;205.336122287101;170;58;8;0;220;"SW";8.1;0;0;0;0;0;0;0;0;0
2017;552;464;1;2;1;1810;316.395947772198;310.99074127278;280;3;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;2;2;1810;179.077453899727;187.236493168552;160;6;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;2;3;1810;206.55028232072;210.956804004556;180;9;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;2;4;1810;8.11830581748499;8.11830581748499;340;9;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;3;1;1810;10.9001339031956;8.70454442950923;340;14;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;3;2;1810;339.749535017168;341.01143659779;310;19;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;3;3;1810;66.8264141890964;66.8264141890964;40;27;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;4;1;1810;11.2317230162546;12.9146436839761;340;30;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;4;2;1810;348.067873789673;348.635695128184;320;35;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;4;3;1810;51.0121159710279;51.0121159710279;20;41;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;5;1;1810;113.72443668459;112.411128245131;80;45;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;5;2;1810;117.951985079063;121.405926414488;90;55;11;0;210;"SSW";9.8;0;0;0;0;0;0;0;0;0
2017;552;464;1;5;3;1810;241.431092800622;241.738229420572;220;0;11;0;200;"SSW";11.5;0;0;0;0;0;0;0;0;0
2017;552;464;1;5;4;1810;56.8692189023045;56.8692189023045;40;3;11;0;200;"SSW";11.5;0;0;0;0;0;0;0;0;0
2017;552;464;1;6;1;1810;193.151460809531;197.843507619687;180;5;11;0;200;"SSW";11.5;0;0;0;0;0;0;0;0;0
2017;552;464;1;6;2;1810;209.641243573089;210.469482047868;190;10;11;0;200;"SSW";11.5;0;0;0;0;0;0;0;0;0
2017;552;464;1;6;3;1810;15.0945841200642;16.3777914026503;360;14;11;0;200;"SSW";11.5;0;0;0;0;0;0;0;0;0
2017;552;464;1;6;4;1810;44.4838357702468;44.4838357702468;20;14;11;0;200;"SSW";11.5;0;0;0;0;0;0;0;0;0
2017;552;464;1;7;1;1810;101.118713533066;102.897358513778;80;21;11;0;200;"SSW";11.5;0;0;0;0;0;0;0;0;0
2017;552;464;1;7;2;1810;165.393057236079;163.332535516035;140;27;11;0;200;"SSW";11.5;0;0;0;0;0;0;0;0;0
2017;552;464;1;7;3;1810;43.639956840231;43.639956840231;20;30;11;0;200;"SSW";11.5;0;0;0;0;0;0;0;0;0
