"tempi","hum","wdird","wdire","wgusti","precipi","rain","conds","weatherTime","shotId"
"83.3","59","150","SSE","-9999.0","-9999.00","0","Mostly Cloudy",1415,"34262-420-715-3-8-4"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34262-420-715-3-9-1"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34262-420-715-3-9-2"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34262-420-715-3-9-3"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34262-420-715-3-10-1"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34262-420-715-3-10-2"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34262-420-715-3-10-3"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34262-420-715-3-10-4"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34262-420-715-3-10-5"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34262-420-715-3-10-6"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34262-420-715-3-11-1"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34262-420-715-3-11-2"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34262-420-715-3-11-3"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34262-420-715-3-11-4"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34262-420-715-3-12-1"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34262-420-715-3-12-2"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34262-420-715-3-12-3"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34262-420-715-3-13-1"
"75.6","87","0","North","-9999.0","-9999.00","0","Overcast",755,"34262-420-715-3-13-2"
"75.6","87","0","North","-9999.0","-9999.00","0","Overcast",755,"34262-420-715-3-13-3"
"75.6","87","0","North","-9999.0","-9999.00","0","Overcast",755,"34262-420-715-3-14-1"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34262-420-715-3-14-2"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34262-420-715-3-14-3"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34262-420-715-3-14-4"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34262-420-715-3-15-1"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34262-420-715-3-15-2"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34262-420-715-3-15-3"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34262-420-715-3-16-1"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34262-420-715-3-16-2"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34262-420-715-3-16-3"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34262-420-715-3-17-1"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34262-420-715-3-17-2"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34262-420-715-3-17-3"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34262-420-715-3-17-4"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34262-420-715-3-17-5"
"76.3","85","140","SE","-9999.0","-9999.00","0","Overcast",855,"34262-420-715-3-18-1"
"76.3","85","140","SE","-9999.0","-9999.00","0","Overcast",855,"34262-420-715-3-18-2"
"76.3","85","140","SE","-9999.0","-9999.00","0","Overcast",855,"34262-420-715-3-18-3"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34262-420-715-3-18-4"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34262-420-715-3-18-5"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34360-420-715-3-1-1"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34360-420-715-3-1-2"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34360-420-715-3-1-3"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34360-420-715-3-1-4"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34360-420-715-3-1-5"
"75.9","86","0","North","-9999.0","-9999.00","0","Mostly Cloudy",715,"34360-420-715-3-2-1"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34360-420-715-3-2-2"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34360-420-715-3-2-3"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34360-420-715-3-3-1"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34360-420-715-3-3-2"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34360-420-715-3-3-3"
"75.7","87","0","North","-9999.0","-9999.00","0","Overcast",735,"34360-420-715-3-3-4"
"75.6","87","0","North","-9999.0","-9999.00","0","Overcast",755,"34360-420-715-3-4-1"
"75.6","87","0","North","-9999.0","-9999.00","0","Overcast",755,"34360-420-715-3-4-2"
"75.6","87","0","North","-9999.0","-9999.00","0","Overcast",755,"34360-420-715-3-4-3"
"75.6","87","0","North","-9999.0","-9999.00","0","Overcast",755,"34360-420-715-3-5-1"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34360-420-715-3-5-2"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34360-420-715-3-5-3"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34360-420-715-3-5-4"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34360-420-715-3-5-5"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34360-420-715-3-5-6"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34360-420-715-3-6-1"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34360-420-715-3-6-2"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34360-420-715-3-6-3"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34360-420-715-3-6-4"
"76.1","86","0","North","-9999.0","-9999.00","0","Overcast",815,"34360-420-715-3-7-1"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34360-420-715-3-7-2"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34360-420-715-3-7-3"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34360-420-715-3-7-4"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34360-420-715-3-8-1"
"76.6","84","0","North","-9999.0","-9999.00","0","Overcast",835,"34360-420-715-3-8-2"
"76.3","85","140","SE","-9999.0","-9999.00","0","Overcast",855,"34360-420-715-3-8-3"
"76.3","85","140","SE","-9999.0","-9999.00","0","Overcast",855,"34360-420-715-3-8-4"
"76.3","85","140","SE","-9999.0","-9999.00","0","Overcast",855,"34360-420-715-3-9-1"
"76.3","85","140","SE","-9999.0","-9999.00","0","Overcast",855,"34360-420-715-3-9-2"
"76.3","85","140","SE","-9999.0","-9999.00","0","Overcast",855,"34360-420-715-3-9-3"
"76.3","85","140","SE","-9999.0","-9999.00","0","Overcast",855,"34360-420-715-3-10-1"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-10-2"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-10-3"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-11-1"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-11-2"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-11-3"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-11-4"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-12-1"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-12-2"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-12-3"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-13-1"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-13-2"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-13-3"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-13-4"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-14-1"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-14-2"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-14-3"
"75.9","89","0","North","-9999.0","0.04","1","Rain",915,"34360-420-715-3-14-4"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-15-1"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-15-2"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-15-3"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-15-4"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-16-1"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-16-2"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-16-3"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-17-1"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-17-2"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-17-3"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-17-4"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-17-5"
"75.2","89","0","North","-9999.0","-9999.00","0","Drizzle",1035,"34360-420-715-3-18-1"
