"season" "perm_tourn" "seq_tourn" "course" "min_day" "max_day" "shot_tot" "tourn" "course.1" "start" "end" "lat" "lng"
2016 464 10 552 15 18 31466 " Frys.com Open" " Silverado CC (North)" 2015-10-15 2015-10-18 38.3487344 -122.2643107
2016 47 20 538 22 25 30735 " Shriners Hospitals for Children Open" " TPC Summerlin" 2015-10-22 2015-10-25 36.1884284 -115.2982117
2016 54 40 746 5 9 28216 " Sanderson Farms Championship" " CC of Jackson" 2015-11-05 2015-11-09 32.3205322 -90.1805833
2016 493 70 776 19 22 22040 " The RSM Classic" " Sea Island Resort (Seaside)" 2015-11-19 2015-11-22 31.1390387 -81.4058352
2016 16 100 656 7 10 8983 " Hyundai Tournament of Champions" " Plantation Course at Kapalua" 2016-01-07 2016-01-10 21.0071183 -156.6402666
2016 6 110 6 14 17 30892 " Sony Open in Hawaii" " Waialae CC" 2016-01-14 2016-01-17 21.2705629 -157.7762165
2016 2 120 704 21 24 16091 " CareerBuilder Challenge in partnership with the Clinton Foundation" " PGA WEST TPC Stadium Course" 2016-01-21 2016-01-24 33.6413406 -116.2581107
2016 4 130 4 28 30 16806 " Farmers Insurance Open" " Torrey Pines GC (South)" 2016-01-28 2016-01-30 32.9043227 -117.2444931
2016 3 140 510 4 7 28553 " Waste Management Phoenix Open" " TPC Scottsdale" 2016-02-04 2016-02-07 33.6405763 -111.9088681
2016 5 150 5 11 14 16416 " AT&T Pebble Beach Pro-Am" " Pebble Beach GL" 2016-02-11 2016-02-14 26.2091313 -80.2130659
2016 7 160 500 18 21 31338 " Northern Trust Open" " Riviera CC" 2016-02-18 2016-02-21 34.0497945 -118.5013377
2016 10 170 734 25 28 31932 " The Honda Classic" " PGA National (Champion)" 2016-02-25 2016-02-28 26.8289909 -80.141201
2016 473 180 8 3 6 19221 " World Golf Championships-Cadillac Championship" " Trump National Doral" 2016-03-03 2016-03-06 25.81372 -80.3396761
2016 475 190 665 10 13 31169 " Valspar Championship" " Innisbrook Resort (Copperhead)" 2016-03-10 2016-03-13 28.1108728 -82.753524
2016 9 200 9 17 20 28216 " Arnold Palmer Invitational presented by MasterCard" " Bay Hill Club & Lodge" 2016-03-17 2016-03-20 28.4582218 -81.5112591
2016 470 220 185 23 25 12240 " World Golf Championships-Dell Match Play" " Austin Country Club" 2016-03-23 2016-03-25 30.3429328 -97.7972859
2016 20 230 729 31 3 31702 " Shell Houston Open" " GC of Houston" 2016-03-31 2016-04-03 29.925101 -95.2580727
2016 12 250 12 14 17 30352 " RBC Heritage" " Harbour Town GL" 2016-04-14 2016-04-17 32.1354877 -80.8101813
2016 41 260 770 21 24 33093 " Valero Texas Open" " TPC San Antonio - AT&T Oaks" 2016-04-21 2016-04-24 29.6666152 -98.4007203
2016 18 270 714 28 2 27879 " Zurich Classic of New Orleans" " TPC Louisiana" 2016-04-28 2016-05-02 29.9023695 -90.1892396
2016 480 280 698 5 8 34279 " Wells Fargo Championship" " Quail Hollow Club" 2016-05-05 2016-05-08 35.1163944 -80.8424694
2016 11 290 11 12 15 31862 " THE PLAYERS Championship" " TPC Sawgrass" 2016-05-12 2016-05-15 30.1990251 -81.394832
2016 19 300 19 19 22 32593 " AT&T Byron Nelson" " TPC Four Seasons Resort" 2016-05-19 2016-05-22 32.8629389 -96.9583796
2016 21 310 21 26 29 26881 " DEAN & DELUCA Invitational" " Colonial CC" 2016-05-26 2016-05-29 32.7170485 -97.3727556
2016 23 320 23 2 5 27772 " the Memorial Tournament presented by Nationwide" " Muirfield Village GC" 2016-06-02 2016-06-05 40.1404806 -83.140923
2016 25 330 513 9 12 32780 " FedEx St. Jude Classic" " TPC Southwind" 2016-06-09 2016-06-12 35.0571605 -89.7793212
2016 471 350 24 23 26 27967 " Quicken Loans National" " Congressional CC (Blue)" 2016-06-23 2016-06-26 38.9962527 -77.1764329
2016 476 370 36 30 3 16706 " World Golf Championships-Bridgestone Invitational" " Firestone CC (South)" 2016-06-30 2016-07-03 41.0078133 -81.5077705
2016 518 390 819 14 17 29092 " Barbasol Championship" " RTJ Trail (Grand National)" 2016-07-14 2016-07-17 32.6789455 -85.4224935
2016 32 410 32 21 24 34126 " RBC Canadian Open" " Glen Abbey GC" 2016-07-21 2016-07-24 43.449111 -79.7142073
2016 33 420 715 28 31 34325 " PGA Championship" " Baltusrol GC" 2016-07-28 2016-07-31 40.7050222 -74.3279863
2016 34 430 503 4 7 32100 " Travelers Championship" " TPC River Highlands" 2016-08-04 2016-08-07 41.6318138 -72.6397284
2016 30 450 669 11 14 31877 " John Deere Classic" " TPC Deere Run" 2016-08-11 2016-08-14 41.477362 -90.392236
2016 13 460 752 18 21 31780 " Wyndham Championship" " Sedgefield CC" 2016-08-18 2016-08-21 36.0138843 -79.8871354
2016 27 470 689 25 28 28316 " The Barclays" " Bethpage State Park (Black)" 2016-08-25 2016-08-28 40.7454209 -73.4532238
2016 505 480 700 2 5 23883 " Deutsche Bank Championship" " TPC Boston" 2016-09-02 2016-09-05 41.9825079 -71.2233312
2016 28 490 527 8 11 19628 " BMW Championship" " Crooked Stick GC" 2016-09-08 2016-09-11 39.9463466 -86.1930505
2016 60 500 688 22 25 8194 " TOUR Championship" " East Lake GC" 2016-09-22 2016-09-25 33.743698 -84.3027433
