"label","id","link","start","end","city","state","country","zipCode","courseName","id.1","lat","lng","year","elevation"
"Frys.com Open",2271,"http://www.espn.com/golf/leaderboard?tournamentId=2271","2014-10-09T07:00Z","2014-10-12T07:00Z","Napa","CA","United States","94558","Silverado Resort and Spa North",2271,38.3487344,-122.2643107,"2014",96.2718859263611
"Shriners Hospitals for Children Open",2260,"http://www.espn.com/golf/leaderboard?tournamentId=2260","2014-10-16T07:00Z","2014-10-19T07:00Z","Las Vegas","NV","United States","89134","TPC Summerlin",2260,36.1776376,-115.3110023,"2014",2847.95174488281
"The McGladrey Classic",2276,"http://www.espn.com/golf/leaderboard?tournamentId=2276","2014-10-23T07:00Z","2014-10-26T07:00Z","Sea Island","GA","United States","31561","Sea Island Resort (Seaside)",2276,31.1812469,-81.3505119,"2014",32.9133385955429
"Sanderson Farms Championship",2254,"http://www.espn.com/golf/leaderboard?tournamentId=2254","2014-11-06T08:00Z","2014-11-09T08:00Z","Jackson","MS","United States","39211","CC of Jackson",2254,32.396867,-90.0987004,"2014",330.994208607483
"Hero World Challenge",2291,"http://www.espn.com/golf/leaderboard?tournamentId=2291","2014-12-04T08:00Z","2014-12-07T08:00Z","Windermere","FL","United States","34786","Isleworth G&CC",2291,28.477608,-81.527497,"2014",113.596569402313
"Hyundai Tournament of Champions",2230,"http://www.espn.com/golf/leaderboard?tournamentId=2230","2015-01-09T08:00Z","2015-01-12T08:00Z","Kapalua, Maui","HI","United States","96761","Plantation Course at Kapalua",2230,21.0071183,-156.6402666,"2015",205.182322362213
"Sony Open in Hawaii",2235,"http://www.espn.com/golf/leaderboard?tournamentId=2235","2015-01-15T08:00Z","2015-01-18T08:00Z","Honolulu","HI","United States","96816","Waialae CC",2235,21.2707469,-157.7763165,"2015",8.19870988794327
"Humana Challenge in partnership with the Clinton Foundation",2231,"http://www.espn.com/golf/leaderboard?tournamentId=2231","2015-01-22T08:00Z","2015-01-25T08:00Z","La Quinta","CA","United States","92253","PGA West (Palmer)",2231,33.6472987,-116.2653661,"2015",-7.90356128808022
"Waste Management Phoenix Open",2232,"http://www.espn.com/golf/leaderboard?tournamentId=2232","2015-01-29T08:00Z","2015-02-01T08:00Z","Scottsdale","AZ","United States","85255","TPC Scottsdale",2232,33.6405763,-111.9088681,"2015",1547.88044753906
"Farmers Insurance Open",2234,"http://www.espn.com/golf/leaderboard?tournamentId=2234","2015-02-05T08:00Z","2015-02-08T08:00Z","La Jolla","CA","United States","92037","Torrey Pines (North)",2234,32.9361564,-117.2614258,"2015",6.02926423125267
"AT&T Pebble Beach National Pro-Am",2233,"http://www.espn.com/golf/leaderboard?tournamentId=2233","2015-02-12T08:00Z","2015-02-15T08:00Z","Pebble Beach","CA","United States","93953","Spyglass Hill GC",2233,36.5838145,-121.9558073,"2015",200.348933065491
"Northern Trust Open",2236,"http://www.espn.com/golf/leaderboard?tournamentId=2236","2015-02-19T08:00Z","2015-02-22T08:00Z","Pacific Palisades","CA","United States","90272","Riviera CC",2236,34.0497945,-118.5013377,"2015",378.766009418945
"The Honda Classic",2237,"http://www.espn.com/golf/leaderboard?tournamentId=2237","2015-02-26T08:00Z","2015-03-02T08:00Z","Palm Beach Gardens","FL","United States","33418","PGA National (Champion)",2237,26.8289909,-80.141201,"2015",28.700019097786
"World Golf Championships-Cadillac Championship",2266,"http://www.espn.com/golf/leaderboard?tournamentId=2266","2015-03-05T08:00Z","2015-03-08T08:00Z","Miami","FL","United States","33178","Trump National Doral",2266,25.81372,-80.3396761,"2015",18.5686840782928
