"course","tournament","day1_obs","day2_obs","day3_obs","day4_obs","day5_obs","day6_obs","airport_code","air_course_dist"
Silverado Resort and Spa North,Frys.com Open,40,32,29,32,NA,NA,APC,9.10643575112942
TPC Summerlin,Shriners Hospitals for Children Open,25,24,24,24,NA,NA,VGT,6.59859392409244
Sea Island Resort (Seaside),The McGladrey Classic,24,26,24,24,NA,NA,SSI,2.77974140311491
CC of Jackson,Sanderson Farms Championship,37,24,24,30,NA,NA,JAN,5.99770095304904
Isleworth G&CC,Hero World Challenge,28,28,27,41,NA,NA,MCO,13.7251728526208
Plantation Course at Kapalua,Hyundai Tournament of Champions,13,13,12,12,NA,NA,HJH,7272.22112262379
Waialae CC,Sony Open in Hawaii,25,27,24,24,NA,NA,HNL,10.2827217330595
PGA West (Palmer),Humana Challenge in partnership with the Clinton Foundation,24,24,24,24,NA,NA,TRM,5.90499340913464
TPC Scottsdale,Waste Management Phoenix Open,24,49,26,29,NA,NA,SDL,1.38833712470352
Torrey Pines (North),Farmers Insurance Open,30,30,26,31,NA,NA,NKX,NA
Spyglass Hill GC,AT&T Pebble Beach National Pro-Am,24,24,24,24,NA,NA,MRY,5.934348007794
Riviera CC,Northern Trust Open,31,32,24,42,NA,NA,SMO,3.71378241325549
PGA National (Champion),The Honda Classic,27,36,37,26,26,NA,PBI,10.349028505481
Trump National Doral,World Golf Championships-Cadillac Championship,28,26,37,30,NA,NA,MIA,3.50266711068477
Innisbrook Resort (Copperhead),Valspar Championship,30,30,28,31,NA,NA,PIE,14.6132912683098
Bay Hill Club & Lodge,Arnold Palmer Invitational presented by MasterCard,31,34,24,25,NA,NA,EQY,9.62970345542942
TPC San Antonio - AT&T Oaks,Valero Texas Open,29,24,24,27,NA,NA,SAT,10.2122571352295
GC of Houston,Shell Houston Open,32,28,24,30,NA,NA,IAH,6.52237201874387
Augusta National GC,Masters Tournament,24,29,35,43,NA,NA,DNL,NA
Harbour Town GL,RBC Heritage,44,44,47,46,NA,NA,HXD,6.33759961626968
TPC Louisiana,Zurich Classic of New Orleans,28,45,33,39,NA,NA,MSY,7.48979622228986
TPC Harding Park,World Golf Championships-Cadillac Match Play,24,24,25,27,27,NA,SFO,9.61168515947294
TPC Sawgrass,THE PLAYERS Championship,27,24,25,24,NA,NA,CRG,11.8898910268034
Quail Hollow Club,Wells Fargo Championship,25,29,26,24,NA,NA,CLT,9.00617957847133
Colonial CC,Crowne Plaza Invitational at  Colonial,39,45,41,22,NA,NA,NFW,23.0411582946052
TPC Four Seasons Resort,AT&T Byron Nelson,30,53,42,25,NA,NA,DAL,6.21997946926093
Muirfield Village GC,the Memorial Tournament presented by Nationwide,27,34,27,26,NA,NA,OSU,5.63336208021626
TPC Southwind,FedEx St. Jude Classic,44,44,43,44,NA,NA,OLV,5.31453307277448
Chambers Bay GC,U.S. Open,24,28,22,24,NA,NA,TIW,4.67526031070406
TPC River Highlands,Travelers Championship,25,24,24,50,NA,NA,HFD,7.32082994648493
The Old White TPC,The Greenbrier Classic,34,72,69,72,NA,NA,LWB,7.25603609070454
TPC Deere Run,John Deere Classic,35,24,43,49,NA,NA,MLI,6.31280967913116
RTJ Trail (Grand National),Barbasol Championship,72,72,72,72,NA,NA,AUO,4.56961840339964
Robert Trent Jones GC,Quicken Loans National,40,38,40,41,NA,NA,HEF,2810.66129332694
Firestone CC (South),World Golf Championships-Bridgestone Invitational,24,24,24,24,NA,NA,AKR,3.20830504798823
Montreux G&CC,Barracuda Championship,24,25,24,25,NA,NA,RNO,10.2619701613395
Whistling Straits,PGA Championship,24,24,24,24,NA,NA,MMK,1157.91712380885
Sedgefield CC,Wyndham Championship,33,24,24,24,NA,NA,GSO,6.78544211842238
Plainfield CC,The Barclays,72,71,71,72,NA,NA,LDJ,NA
TPC Boston,Deutsche Bank Championship,38,49,52,28,NA,NA,TAN,3082.34827797155
Conway Farms GC,BMW Championship,39,76,43,24,NA,NA,PWK,7.9373897112735
East Lake GC,TOUR Championship by Coca-Cola,27,57,51,35,NA,NA,PDK,9.07925073699277
