pga_tournament_dates.xls,,,"2003-2011 tournament dates",,,,,,
,,,,,,,,,
"Tournament Year","Tournament Number","Permanent Tournament Number"," Event Name",,,,,"Start date","End date"
2004,70,7,"Nissan Open",,,,,2004/02/19,2004/02/22
2004,80,1,"Chrysler Classic of Tucson",,,,,2004/02/26,2004/02/29
2004,100,8,"Ford Championship at Doral",,,,,2004/03/04,2004/03/07
2004,110,10,"The Honda Classic",,,,,2004/03/11,2004/03/14
2004,120,9,"Bay Hill Invitational Presented by MasterCard",,,,,2004/03/18,2004/03/21
2004,130,11,"THE PLAYERS Championship",,,,,2004/03/25,2004/03/28
2004,140,22,"BellSouth Classic",,,,,2004/04/01,2004/04/04
2004,150,14,"Masters Tournament",,,,,2004/04/08,2004/04/11
2004,160,12,"MCI Heritage",,,,,2004/04/15,2004/04/18
2004,170,20,"Shell Houston Open",,,,,2004/04/22,2004/04/25
2004,180,18,"HP Classic of New Orleans",,,,,2004/04/29,2004/05/02
2004,190,480,"Wachovia Championship",,,,,2004/05/06,2004/05/09
2004,200,19,"EDS Byron Nelson Championship",,,,,2004/05/13,2004/05/16
2004,210,21,"Bank of America Colonial",,,,,2004/05/20,2004/05/23
2004,220,25,"FedEx St. Jude Classic",,,,,2004/05/27,2004/05/30
2004,230,23,"the Memorial Tournament",,,,,2004/06/03,2004/06/06
2004,240,27,"Buick Classic",,,,,2004/06/10,2004/06/13
2004,250,26,"U.S. Open Championship",,,,,2004/06/17,2004/06/20
2004,260,24,"Booz Allen Classic",,,,,2004/06/24,2004/06/27
2004,270,28,"Cialis Western Open",,,,,2004/07/01,2004/07/04
2004,280,30,"John Deere Classic",,,,,2004/07/08,2004/07/11
2004,290,37,"B.C. Open",,,,,2004/07/15,2004/07/18
2004,300,100,"British Open Championship",,,,,2004/07/15,2004/07/18
2004,310,29,"U.S. Bank Championship in Milwaukee",,,,,2004/07/22,2004/07/25
2004,320,35,"Buick Open",,,,,2004/07/29,2004/08/01
2004,330,56,"The INTERNATIONAL",,,,,2004/08/05,2004/08/08
2004,340,33,"PGA Championship",,,,,2004/08/12,2004/08/15
2004,350,472,"Reno-Tahoe Open",,,,,2004/08/19,2004/08/22
2004,360,476,"World Golf Championships-NEC Invitational",,,,,2004/08/19,2004/08/22
2004,370,34,"Buick Championship",,,,,2004/08/26,2004/08/29
2004,380,505,"Deutsche Bank Championship",,,,,2004/09/03,2004/09/06
2004,390,32,"Bell Canadian Open",,,,,2004/09/09,2004/09/12
2004,400,41,"Valero Texas Open",,,,,2004/09/16,2004/09/19
2004,420,474,"84 LUMBER Classic",,,,,2004/09/23,2004/09/26
2004,430,54,"Southern Farm Bureau Classic",,,,,2004/09/30,2004/10/03
2004,440,473,"World Golf Championships-American Express Championship",,,,,2004/09/30,2004/10/03
2004,450,47,"Michelin Championship at Las Vegas",,,,,2004/10/07,2004/10/10
2004,460,13,"Chrysler Classic of Greensboro",,,,,2004/10/14,2004/10/17
2004,470,45,"FUNAI Classic at the WALT DISNEY WORLD Resort",,,,,2004/10/21,2004/10/24
