"label" "id" "link" "start" "end" "city" "state" "country" "zipCode" "id.1"
"1" "Frys.com Open" 2523 "http://www.espn.com/golf/leaderboard?tournamentId=2523" "2015-10-15T07:00Z" "2015-10-18T07:00Z" "Napa" "CA" "United States" NA 2523
"2" "Shriners Hospitals for Children Open" 2511 "http://www.espn.com/golf/leaderboard?tournamentId=2511" "2015-10-22T07:00Z" "2015-10-25T07:00Z" "Las Vegas" "NV" "United States" "89134" 2511
"3" "CIMB Classic" 2527 "http://www.espn.com/golf/leaderboard?tournamentId=2527" "2015-10-29T07:00Z" "2015-11-01T07:00Z" "Kuala Lampur" NA "Malaysia" NA 2527
"4" "Sanderson Farms Championship" 2506 "http://www.espn.com/golf/leaderboard?tournamentId=2506" "2015-11-05T08:00Z" "2015-11-09T08:00Z" "Jackson" "MS" "United States" NA 2506
"5" "World Golf Championships-HSBC Champions" 2519 "http://www.espn.com/golf/leaderboard?tournamentId=2519" "2015-11-05T08:00Z" "2015-11-08T08:00Z" "Shanghai" NA "China" NA 2519
"6" "OHL Classic at Mayakoba" 2522 "http://www.espn.com/golf/leaderboard?tournamentId=2522" "2015-11-12T08:00Z" "2015-11-16T08:00Z" "Playa del Carmen" NA "Mexico" NA 2522
"7" "The RSM Classic" 2528 "http://www.espn.com/golf/leaderboard?tournamentId=2528" "2015-11-19T08:00Z" "2015-11-22T08:00Z" "Sea Island" "GA" "United States" NA 2528
"8" "Hero World Challenge" 2605 "http://www.espn.com/golf/leaderboard?tournamentId=2605" "2015-12-03T08:00Z" "2015-12-06T08:00Z" "New Providence" NA NA NA 2605
"9" "Hyundai Tournament of Champions" 2482 "http://www.espn.com/golf/leaderboard?tournamentId=2482" "2016-01-07T08:00Z" "2016-01-10T08:00Z" "Kapalua, Maui" "HI" "United States" "96761" 2482
"10" "Sony Open in Hawaii" 2487 "http://www.espn.com/golf/leaderboard?tournamentId=2487" "2016-01-14T08:00Z" "2016-01-17T08:00Z" "Honolulu" "HI" "United States" "96816" 2487
"11" "CareerBuilder Challenge in partnership with the Clinton Foundation" 2483 "http://www.espn.com/golf/leaderboard?tournamentId=2483" "2016-01-21T08:00Z" "2016-01-24T08:00Z" "La Quinta" "CA" "United States" "92253" 2483
"12" "Farmers Insurance Open" 2486 "http://www.espn.com/golf/leaderboard?tournamentId=2486" "2016-01-28T08:00Z" "2016-02-01T08:00Z" "La Jolla" "CA" "United States" "92037" 2486
"13" "Waste Management Phoenix Open" 2484 "http://www.espn.com/golf/leaderboard?tournamentId=2484" "2016-02-04T08:00Z" "2016-02-07T08:00Z" "Scottsdale" "AZ" "United States" "85255" 2484
"14" "AT&T Pebble Beach Pro-Am" 2485 "http://www.espn.com/golf/leaderboard?tournamentId=2485" "2016-02-11T08:00Z" "2016-02-14T08:00Z" "Pebble Beach" "CA" "United States" "93953" 2485
"15" "Northern Trust Open" 2488 "http://www.espn.com/golf/leaderboard?tournamentId=2488" "2016-02-18T08:00Z" "2016-02-21T08:00Z" "Pacific Palisades" "CA" "United States" "90272" 2488
"16" "The Honda Classic" 2489 "http://www.espn.com/golf/leaderboard?tournamentId=2489" "2016-02-25T08:00Z" "2016-02-28T08:00Z" "Palm Beach Gardens" "FL" "United States" NA 2489
