"label" "id" "link" "start" "end" "city" "state" "country" "zipCode" "id.1"
"17" "World Golf Championships-Cadillac Championship" 2518 "http://www.espn.com/golf/leaderboard?tournamentId=2518" "2016-03-03T08:00Z" "2016-03-06T08:00Z" "Miami" "FL" "United States" "33178" 2518
"18" "Valspar Championship" 2514 "http://www.espn.com/golf/leaderboard?tournamentId=2514" "2016-03-10T08:00Z" "2016-03-13T08:00Z" "Palm Harbor" "FL" "United States" "34684" 2514
"19" "Arnold Palmer Invitational presented by MasterCard" 2490 "http://www.espn.com/golf/leaderboard?tournamentId=2490" "2016-03-17T07:00Z" "2016-03-20T07:00Z" "Orlando" "FL" "United States" "32819" 2490
"20" "World Golf Championships-Dell Match Play" 2516 "http://www.espn.com/golf/leaderboard?tournamentId=2516" "2016-03-23T07:00Z" "2016-03-27T07:00Z" "Austin" "TX" "United States" NA 2516
"21" "Puerto Rico Open at Coco Beach" 2525 "http://www.espn.com/golf/leaderboard?tournamentId=2525" "2016-03-24T07:00Z" "2016-03-27T07:00Z" "Rio Grande" NA "Puerto Rico" NA 2525
"22" "Shell Houston Open" 2496 "http://www.espn.com/golf/leaderboard?tournamentId=2496" "2016-03-31T07:00Z" "2016-04-03T07:00Z" "Houston" "TX" "United States" "77010" 2496
"23" "Masters Tournament" 2493 "http://www.espn.com/golf/leaderboard?tournamentId=2493" "2016-04-07T07:00Z" "2016-04-10T07:00Z" "Augusta" "GA" "United States" "30904" 2493
"24" "RBC Heritage" 2494 "http://www.espn.com/golf/leaderboard?tournamentId=2494" "2016-04-14T07:00Z" "2016-04-17T07:00Z" "Hilton Head" "SC" "United States" "29928" 2494
"25" "Valero Texas Open" 2512 "http://www.espn.com/golf/leaderboard?tournamentId=2512" "2016-04-21T07:00Z" "2016-04-24T07:00Z" "San Antonio" "TX" "United States" "78259" 2512
"26" "Zurich Classic of New Orleans" 2491 "http://www.espn.com/golf/leaderboard?tournamentId=2491" "2016-04-28T07:00Z" "2016-05-02T07:00Z" "Avondale" "LA" "United States" "70094" 2491
"27" "Wells Fargo Championship" 2520 "http://www.espn.com/golf/leaderboard?tournamentId=2520" "2016-05-05T07:00Z" "2016-05-08T07:00Z" "Charlotte" "NC" "United States" "28202" 2520
"28" "THE PLAYERS Championship" 2492 "http://www.espn.com/golf/leaderboard?tournamentId=2492" "2016-05-12T07:00Z" "2016-05-15T07:00Z" "Ponte Vedra Beach" "FL" "United States" "32082" 2492
"29" "AT&T Byron Nelson" 2497 "http://www.espn.com/golf/leaderboard?tournamentId=2497" "2016-05-19T07:00Z" "2016-05-22T07:00Z" "Irving" "TX" "United States" "76109" 2497
"30" "DEAN & DELUCA Invitational" 2498 "http://www.espn.com/golf/leaderboard?tournamentId=2498" "2016-05-26T07:00Z" "2016-05-29T07:00Z" "Ft. Worth" "TX" "United States" "76109" 2498
"31" "the Memorial Tournament presented by Nationwide" 2499 "http://www.espn.com/golf/leaderboard?tournamentId=2499" "2016-06-02T07:00Z" "2016-06-05T07:00Z" "Dublin" "OH" "United States" "43017" 2499
"32" "FedEx St. Jude Classic" 2502 "http://www.espn.com/golf/leaderboard?tournamentId=2502" "2016-06-09T07:00Z" "2016-06-12T07:00Z" "Memphis" "TN" "United States" "38125" 2502
"33" "U.S. Open" 2501 "http://www.espn.com/golf/leaderboard?tournamentId=2501" "2016-06-16T07:00Z" "2016-06-19T07:00Z" "Oakmont" "PA" "United States" NA 2501
"34" "Quicken Loans National" 2524 "http://www.espn.com/golf/leaderboard?tournamentId=2524" "2016-06-23T07:00Z" "2016-06-26T07:00Z" "Bethesda" "MD" "United States" "20817" 2524
"35" "World Golf Championships-Bridgestone Invitational" 2508 "http://www.espn.com/golf/leaderboard?tournamentId=2508" "2016-06-30T07:00Z" "2016-07-03T07:00Z" "Akron" "OH" "United States" "44319" 2508
"36" "Barracuda Championship" 2517 "http://www.espn.com/golf/leaderboard?tournamentId=2517" "2016-06-30T07:00Z" "2016-07-03T07:00Z" "Reno" "NV" "United States" "89501" 2517
"37" "The Greenbrier Classic" 2526 "http://www.espn.com/golf/leaderboard?tournamentId=2526" "2016-07-07T07:00Z" "2016-07-10T07:00Z" "White Sulphur Springs" "WV" "United States" NA 2526
"38" "The Open" 2505 "http://www.espn.com/golf/leaderboard?tournamentId=2505" "2016-07-14T07:00Z" "2016-07-17T07:00Z" "Ayrshire" NA "Scotland" NA 2505
"39" "Barbasol Championship" 2529 "http://www.espn.com/golf/leaderboard?tournamentId=2529" "2016-07-14T07:00Z" "2016-07-17T07:00Z" "Auburn" "AL" "United States" NA 2529
"40" "RBC Canadian Open" 2509 "http://www.espn.com/golf/leaderboard?tournamentId=2509" "2016-07-21T07:00Z" "2016-07-24T07:00Z" "Oakville,Ontario" NA "Canada" NA 2509
"41" "PGA Championship" 2507 "http://www.espn.com/golf/leaderboard?tournamentId=2507" "2016-07-28T07:00Z" "2016-07-31T07:00Z" "Springfield" "NJ" "United States" "07081" 2507
"42" "Travelers Championship" 2503 "http://www.espn.com/golf/leaderboard?tournamentId=2503" "2016-08-04T07:00Z" "2016-08-07T07:00Z" "Cromwell" "CT" "United States" "06416" 2503
"43" "John Deere Classic" 2510 "http://www.espn.com/golf/leaderboard?tournamentId=2510" "2016-08-11T07:00Z" "2016-08-14T07:00Z" "Silvis" "IL" "United States" "61282" 2510
"44" "Wyndham Championship" 2495 "http://www.espn.com/golf/leaderboard?tournamentId=2495" "2016-08-18T07:00Z" "2016-08-21T07:00Z" "Greensboro" "NC" "United States" NA 2495
"45" "The Barclays" 2500 "http://www.espn.com/golf/leaderboard?tournamentId=2500" "2016-08-25T07:00Z" "2016-08-28T07:00Z" "Farmingdale" "NY" "United States" "11735" 2500
"46" "Deutsche Bank Championship" 2521 "http://www.espn.com/golf/leaderboard?tournamentId=2521" "2016-09-02T07:00Z" "2016-09-05T07:00Z" "Norton" "MA" "United States" "02766" 2521
"47" "BMW Championship" 2504 "http://www.espn.com/golf/leaderboard?tournamentId=2504" "2016-09-08T07:00Z" "2016-09-11T07:00Z" "Carmel" "IN" "United States" NA 2504
"48" "TOUR Championship" 2513 "http://www.espn.com/golf/leaderboard?tournamentId=2513" "2016-09-22T07:00Z" "2016-09-25T07:00Z" "Atlanta" "GA" "United States" "30317" 2513
"49" "Ryder Cup" 2515 "http://www.espn.com/golf/leaderboard?tournamentId=2515" "2016-09-30T07:00Z" "2016-10-02T07:00Z" "Chaska" "MN" "United States" "55318" 2515
