"tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado"
"34","20.7","69.3","19.3","66.7","92","7.4","4.6","-9999.0","-9999.0","280","West","4.8","3.0","1012.1","29.89","-999","-999","-9999","-9999","0.3","0.01","Heavy Rain","rain","0","1","0","0","0","0"
"35","21.4","70.5","20.3","68.5","93","7.4","4.6","-9999.0","-9999.0","230","SW","16.1","10.0","1012.1","29.89","-999","-999","-9999","-9999","0.3","0.01","Overcast","cloudy","0","0","0","0","0","0"
"36","22.0","71.6","20.4","68.7","91","9.3","5.8","-9999.0","-9999.0","250","WSW","16.1","10.0","1012.1","29.89","-999","-999","-9999","-9999","0.3","0.01","Overcast","cloudy","0","0","0","0","0","0"
"37","22.1","71.8","20.1","68.2","88","13.0","8.1","-9999.0","-9999.0","250","WSW","16.1","10.0","1012.1","29.89","-999","-999","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0"
"38","22.3","72.1","20.3","68.5","88","14.8","9.2","-9999.0","-9999.0","260","West","16.1","10.0","1012.8","29.91","-999","-999","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0"
"39","22.1","71.8","20.3","68.5","89","13.0","8.1","-9999.0","-9999.0","270","West","16.1","10.0","1012.8","29.91","-999","-999","-9999","-9999","-9999.00","-9999.00","Rain","rain","0","1","0","0","0","0"
"40","22.0","71.6","20.7","69.3","92","11.1","6.9","16.7","10.4","280","West","11.3","7.0","1013.1","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0"
"41","21.2","70.2","19.7","67.5","91","25.9","16.1","33.3","20.7","270","West","6.4","4.0","1013.4","29.93","-999","-999","-9999","-9999","0.5","0.02","Heavy Rain","rain","0","1","0","0","0","0"
"42","20.1","68.2","17.5","63.5","85","18.5","11.5","50.0","31.1","300","WNW","16.1","10.0","1013.4","29.93","-999","-999","-9999","-9999","0.8","0.03","Overcast","cloudy","0","0","0","0","0","0"
"43","19.8","67.6","17.7","63.9","88","11.1","6.9","-9999.0","-9999.0","290","WNW","16.1","10.0","1013.4","29.93","-999","-999","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0"
"44","19.7","67.5","17.8","64.0","89","13.0","8.1","-9999.0","-9999.0","270","West","16.1","10.0","1013.8","29.94","-999","-999","-9999","-9999","-9999.00","-9999.00","Light Drizzle","rain","0","0","0","0","0","0"
"45","20.3","68.5","18.3","64.9","88","11.1","6.9","-9999.0","-9999.0","260","West","16.1","10.0","1013.4","29.93","-999","-999","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0"
"46","22.1","71.8","19.2","66.6","84","14.8","9.2","-9999.0","-9999.0","260","West","16.1","10.0","1013.1","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0"
"47","22.9","73.2","19.4","66.9","81","18.5","11.5","29.6","18.4","260","West","16.1","10.0","1012.8","29.91","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0"
"48","23.9","75.0","19.0","66.2","74","24.1","15.0","37.0","23.0","260","West","16.1","10.0","1012.8","29.91","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0"
"49","23.4","74.1","18.3","64.9","73","22.2","13.8","38.9","24.2","260","West","16.1","10.0","1012.8","29.91","-999","-999","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0"
"50","24.1","75.4","18.7","65.7","72","33.3","20.7","48.2","29.9","270","West","16.1","10.0","1012.4","29.90","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0"
"51","23.6","74.5","18.1","64.6","71","29.6","18.4","38.9","24.2","290","WNW","16.1","10.0","1012.4","29.90","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0"
"52","22.5","72.5","16.8","62.2","70","20.4","12.7","44.4","27.6","300","WNW","16.1","10.0","1012.1","29.89","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0"
"53","22.1","71.8","16.1","61.0","69","20.4","12.7","38.9","24.2","300","WNW","16.1","10.0","1012.8","29.91","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0"
"54","22.7","72.9","15.4","59.7","63","24.1","15.0","42.6","26.5","310","NW","16.1","10.0","1013.1","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Scattered Clouds","partlycloudy","0","0","0","0","0","0"
"55","22.9","73.2","14.9","58.8","61","22.2","13.8","42.6","26.5","310","NW","16.1","10.0","1014.1","29.95","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0"
"56","21.3","70.3","14.5","58.1","65","18.5","11.5","33.3","20.7","310","NW","16.1","10.0","1014.8","29.97","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0"
"57","20.9","69.6","14.2","57.6","65","22.2","13.8","29.6","18.4","300","WNW","16.1","10.0","1015.5","29.99","-999","-999","-9999","-9999","-9999.00","-9999.00","Scattered Clouds","partlycloudy","0","0","0","0","0","0"
"58","20.1","68.2","13.9","57.0","67","13.0","8.1","-9999.0","-9999.0","290","WNW","16.1","10.0","1015.8","30.00","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
"59","20.0","68.0","12.9","55.2","64","16.7","10.4","27.8","17.3","310","NW","16.1","10.0","1016.1","30.01","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
"60","18.9","66.0","12.6","54.7","67","9.3","5.8","-9999.0","-9999.0","300","WNW","16.1","10.0","1016.5","30.02","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
"61","17.6","63.7","12.8","55.0","73","7.4","4.6","-9999.0","-9999.0","290","WNW","16.1","10.0","1016.8","30.03","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
"62","17.0","62.6","12.8","55.0","76","5.6","3.5","-9999.0","-9999.0","280","West","16.1","10.0","1016.8","30.03","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
"63","16.3","61.3","13.2","55.8","82","0.0","0.0","-9999.0","-9999.0","0","North","16.1","10.0","1017.2","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
"64","15.6","60.1","13.5","56.3","87","0.0","0.0","-9999.0","-9999.0","0","North","16.1","10.0","1017.5","30.05","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
"65","15.5","59.9","13.2","55.8","86","7.4","4.6","-9999.0","-9999.0","260","West","16.1","10.0","1017.8","30.06","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
"66","15.6","60.1","13.5","56.3","87","7.4","4.6","-9999.0","-9999.0","270","West","16.1","10.0","1017.8","30.06","-999","-999","-9999","-9999","-9999.00","-9999.00","Scattered Clouds","partlycloudy","0","0","0","0","0","0"
"67","15.5","59.9","13.0","55.4","85","0.0","0.0","-9999.0","-9999.0","0","North","16.1","10.0","1018.2","30.07","-999","-999","-9999","-9999","-9999.00","-9999.00","Scattered Clouds","partlycloudy","0","0","0","0","0","0"
"68","15.5","59.9","13.0","55.4","85","7.4","4.6","-9999.0","-9999.0","270","West","16.1","10.0","1018.5","30.08","-999","-999","-9999","-9999","-9999.00","-9999.00","Scattered Clouds","partlycloudy","0","0","0","0","0","0"
"69","15.3","59.5","13.0","55.4","86","7.4","4.6","-9999.0","-9999.0","280","West","16.1","10.0","1018.5","30.08","-999","-999","-9999","-9999","-9999.00","-9999.00","Scattered Clouds","partlycloudy","0","0","0","0","0","0"
"70","15.2","59.4","13.0","55.4","87","9.3","5.8","-9999.0","-9999.0","280","West","16.1","10.0","1019.2","30.10","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
"71","15.4","59.7","13.0","55.4","86","7.4","4.6","-9999.0","-9999.0","290","WNW","16.1","10.0","1019.2","30.10","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
"72","14.7","58.5","12.7","54.9","88","5.6","3.5","-9999.0","-9999.0","280","West","16.1","10.0","1019.5","30.11","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0"
