"label","id","link","start","end","city","state","country","zipCode","courseName","id.1","lat","lng","elevations"
"Quicken Loans National",2524,"http://www.espn.com/golf/leaderboard?tournamentId=2524","2016-06-23T07:00Z","2016-06-26T07:00Z","Bethesda","MD","United States","20817","Congressional CC (Blue)",2524,38.9962527,-77.1764329,84.6406555175781
"World Golf Championships-Bridgestone Invitational",2508,"http://www.espn.com/golf/leaderboard?tournamentId=2508","2016-06-30T07:00Z","2016-07-03T07:00Z","Akron","OH","United States","44319","Firestone CC (South)",2508,41.0033019,-81.5085554,321.944183349609
"Barracuda Championship",2517,"http://www.espn.com/golf/leaderboard?tournamentId=2517","2016-06-30T07:00Z","2016-07-03T07:00Z","Reno","NV","United States","89501","Montreux G&CC",2517,46.4358435,6.9104473,395.639190673828
"The Greenbrier Classic",2526,"http://www.espn.com/golf/leaderboard?tournamentId=2526","2016-07-07T07:00Z","2016-07-10T07:00Z","White Sulphur Springs","WV","United States",NA,"The Old White TPC",2526,37.7867978,-80.3052594,586.852722167969
"Barbasol Championship",2529,"http://www.espn.com/golf/leaderboard?tournamentId=2529","2016-07-14T07:00Z","2016-07-17T07:00Z","Auburn","AL","United States",NA,"RTJ Trail (Grand National)",2529,NA,NA,NA
"PGA Championship",2507,"http://www.espn.com/golf/leaderboard?tournamentId=2507","2016-07-28T07:00Z","2016-07-31T07:00Z","Springfield","NJ","United States","07081","Baltusrol GC",2507,40.7050222,-74.3279863,50.4866218566895
"Travelers Championship",2503,"http://www.espn.com/golf/leaderboard?tournamentId=2503","2016-08-04T07:00Z","2016-08-07T07:00Z","Cromwell","CT","United States","06416","TPC River Highlands",2503,41.6318138,-72.6397284,50.8961143493652
"John Deere Classic",2510,"http://www.espn.com/golf/leaderboard?tournamentId=2510","2016-08-11T07:00Z","2016-08-14T07:00Z","Silvis","IL","United States","61282","TPC Deere Run",2510,41.477362,-90.392236,211.387466430664
"Wyndham Championship",2495,"http://www.espn.com/golf/leaderboard?tournamentId=2495","2016-08-18T07:00Z","2016-08-21T07:00Z","Greensboro","NC","United States",NA,"Sedgefield CC",2495,33.9799853,-84.5294881,338.205444335938
"The Barclays",2500,"http://www.espn.com/golf/leaderboard?tournamentId=2500","2016-08-25T07:00Z","2016-08-28T07:00Z","Farmingdale","NY","United States","11735","Bethpage State Park (Black)",2500,40.7451112,-73.4613274,35.5066719055176
"Deutsche Bank Championship",2521,"http://www.espn.com/golf/leaderboard?tournamentId=2521","2016-09-02T07:00Z","2016-09-05T07:00Z","Norton","MA","United States","02766","TPC Boston",2521,41.9825079,-71.2233312,46.2751541137695
"BMW Championship",2504,"http://www.espn.com/golf/leaderboard?tournamentId=2504","2016-09-08T07:00Z","2016-09-11T07:00Z","Carmel","IN","United States",NA,"Crooked Stick GC",2504,39.9463466,-86.1930505,265.979614257812
"TOUR Championship",2513,"http://www.espn.com/golf/leaderboard?tournamentId=2513","2016-09-22T07:00Z","2016-09-25T07:00Z","Atlanta","GA","United States","30317","East Lake GC",2513,33.743698,-84.3027433,298.681488037109
"Ryder Cup",2515,"http://www.espn.com/golf/leaderboard?tournamentId=2515","2016-09-30T07:00Z","2016-10-02T07:00Z","Chaska","MN","United States","55318","Hazeltine National GC",2515,44.8334511,-93.5909203,300.579040527344
