"course","link","hole","hole_lat","hole_lon","hole_z","tee_lat","tee_lon","tee_z","midpt1_lat","midpt1_lon","midpt1_z","midpt2_lat","midpt2_lon","midpt2_z"
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","1","21.007705800771","-156.64512366451","75.3322760591125","21.007263900726","-156.64058496406","194.528878797455","21.007788600779","-156.64321206432","129.782725905304","","",NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","2","21.00609660061","-156.64719816472","74.2497305212403","21.007536600754","-156.64605426461","78.6985024532318",NA,NA,NA,NA,NA,NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","3","21.005024700502","-156.64370886437","142.258488459015","21.005339700534","-156.6469542647","92.9220985250854","21.005214600521","-156.64453596445","130.729804630432",NA,NA,NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","4","21.001671300167","-156.64127706413","277.633525691528","21.004159800416","-156.64322556432","170.244763032532","21.002277000228","-156.64188456419","259.682971523438",NA,NA,NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","5","20.996954399695","-156.64116096412","329.877959066773","21.000824400082","-156.64121406412","274.208958707275","20.998616699862","-156.64051296405","356.397765343017","20.99730179973","-156.64046256405","366.690489721069"
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","6","20.999866799987","-156.64329396433","259.870552509155","20.996388299639","-156.64338036434","341.6985398349","20.998732799873","-156.64334256433","297.921783489075",NA,NA,NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","7","21.002718000272","-156.64706136471","132.017615430298","21.000088200009","-156.64358826436","265.469046449585","21.001389600139","-156.64583376458","210.01438502533",NA,NA,NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","8","21.004671900467","-156.64766886477","48.0912379137421","21.003036600304","-156.64748976475","112.119012450562",NA,NA,NA,NA,NA,NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","9","21.006883200688","-156.64269096427","132.651145554199","21.005738400574","-156.64682916468","86.3300498793793","21.006884100688","-156.64468986447","95.2298402597046","21.006968700697","-156.6430185643","129.924951040192"
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","10","21.00940320094","-156.63735216374","225.358855082397","21.009225900923","-156.64030776403","171.8528056633","21.008919900892","-156.6379515638","228.593663399353","","",NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","11","21.010742401074","-156.6370101637","204.076360489655","21.009486000949","-156.63646656365","240.231118668213",NA,NA,NA,"","",NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","12","21.010179901018","-156.6410322641","151.684270290985","21.01089810109","-156.63739986374","184.539490444946","21.010608301061","-156.640024264","175.961590187531","","",NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","13","21.010026901003","-156.63772836377","210.623735374451","21.009794700979","-156.6410430641","150.944947394714","21.00970290097","-156.63871116387","199.208491234589","","",NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","14","21.007377300738","-156.63544866354","302.757087643738","21.009410400941","-156.63677796368","238.554028512878","21.008091000809","-156.63551706355","277.810393485107","","",NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","15","21.002156400216","-156.63452256345","393.900070379944","21.006308100631","-156.63558816356","329.025934891052","21.004284900428","-156.63441186344","363.392002991028","21.002462400246","-156.63475566348","383.608672635498"
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","16","20.998729199873","-156.63336336334","495.150524375","21.001539900154","-156.63456756346","427.260475114136","20.999452799945","-156.63375666338","468.503811827392",NA,NA,NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","17","21.001928700193","-156.63667086367","353.502299890137","20.998279199828","-156.63390156339","520.745591935425","21.00060210006","-156.63522636352","433.58796673645",NA,NA,NA
"Plantation Course at Kapalua","http://www.provisualizer.com/courses/kapaluaplantation.php","18","21.006765300677","-156.64167666417","134.13977864502","21.002776500278","-156.6380343638","294.234543050842","21.005078700508","-156.63939966394","228.723873739319","21.006634800663","-156.64055076406","160.85786658371"
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","1","21.273194127319","-157.77358697736","3.90994749040604","21.271994427199","-157.77636977764","7.47151598972321","21.272865627287","-157.77417827742","3.7084708781004","","",NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","2","21.272319327232","-157.77193007719","2.81467162807703","21.273253527325","-157.77330077733","4.26333538379193",NA,NA,NA,NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","3","21.275921127592","-157.77342677734","11.4919526606178","21.27309872731","-157.77110567711","3.39550971899509","21.274790727479","-157.77278147728","7.30905812791825",NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","4","21.27329762733","-157.77070877707","2.95946652891636","21.276211827621","-157.77337457734","11.9542234596634","21.275021127502","-157.77125957713","3.87914432526112","21.273691827369","-157.77079697708","2.99899997570992"
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","5","21.275959827596","-157.77110657711","4.2091143195343","21.272824227282","-157.77009047701","2.81535313133717","21.275126427513","-157.77013727701","1.60732221240044",NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","6","21.275305527531","-157.76764247676","4.59256344883442","21.276276627628","-157.77085097709","3.33021251566887","21.275313627531","-157.76865497687","3.17250386137485",NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","7","21.272873727287","-157.76945867695","3.0829666528511","21.27529742753","-157.7669548767","3.66290070085049","21.27410222741","-157.76906717691","2.87244237588644",NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","8","21.272583927258","-157.77137117714","3.3265791353035","21.272661327266","-157.76972057697","2.7822835034132",NA,NA,NA,NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","9","21.272882727288","-157.77547787755","3.4958293455267","21.273043827304","-157.77128657713","3.44646269645691","21.274082427408","-157.77349247735","4.30863765301704","21.27319592732","-157.77508277751","3.78164183960915"
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","10","21.273848427385","-157.78012187801","15.6951816079521","21.272611827261","-157.7760475776","8.46457868288994","21.273140127314","-157.77845237785","7.10364737426758","21.273853827385","-157.77989417799","13.7833164150238"
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","11","21.275793327579","-157.77756947776","12.4125526863384","21.273972627397","-157.78069607807","18.263211046257","21.274966227497","-157.77846677785","12.0726966903973",NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","12","21.274782627478","-157.78014167801","18.411626616497","21.276510627651","-157.7769799777","7.94184123820305","21.275433327543","-157.77916337792","16.1330348394012",NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","13","21.276633927663","-157.77933977793","24.2529821146965","21.275379327538","-157.78019927802","21.2243667646027",NA,NA,NA,NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","14","21.277617627762","-157.78309007831","38.1092555559158","21.277040727704","-157.7790220779","28.818292864151","21.277409727741","-157.78150517815","26.8209333316803",NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","15","21.274655727466","-157.78170137817","20.445770507431","21.277929927793","-157.78373717837","40.5330057674408","21.276081327608","-157.78226387823","25.260034691143",NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","16","21.276571827657","-157.78094357809","28.5603471068192","21.275362227536","-157.78164017816","26.8077546035004",NA,NA,NA,NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","17","21.273222927322","-157.78089407809","15.4862806189537","21.276760827676","-157.78013897801","25.641987837677","21.274530627453","-157.7810461781","16.7947512341499",NA,NA,NA
"Waialae CC","http://www.provisualizer.com/courses/waialae.php","18","21.271473327147","-157.77681887768","7.85732544738769","21.272952927295","-157.7810056781","13.2020412624741","21.27209702721","-157.77871157787","5.82003549491882","21.271611027161","-157.77716447772","4.98767342157841"
"PGA West (Palmer)","http://www.provisualizer.com/courses/pgawestpalmer.php","1","33.647607664761","-116.2679930268","-10.1363474417496","33.644193964419","-116.26736752674","-4.11607592467785","33.646409764641","-116.26811722681","-6.58123376585007","","",NA
"PGA West (Palmer)","http://www.provisualizer.com/courses/pgawestpalmer.php","2","33.651617165162","-116.26960492696","-0.742482402095199","33.647434864743","-116.26917832692","-5.42572729071617","33.649719064972","-116.26952932695","-7.47803260798454","33.651240065124","-116.26954462695","-2.358952451334"
"PGA West (Palmer)","http://www.provisualizer.com/courses/pgawestpalmer.php","3","33.653284865328","-116.27033842703","-0.573492424429655","33.652067165207","-116.26935382694","-0.272943351224959",NA,NA,NA,NA,NA,NA
"PGA West (Palmer)","http://www.provisualizer.com/courses/pgawestpalmer.php","4","33.653433365343","-116.27414992741","0.441050772390962","33.653769065377","-116.27037712704","3.50188015582085","33.653835665384","-116.27314192731","0.214605889944136",NA,NA,NA
"PGA West (Palmer)","http://www.provisualizer.com/courses/pgawestpalmer.php","5","33.655416965542","-116.27564482756","1.73257664501429","33.653763665376","-116.27451982745","2.67307969478369",NA,NA,NA,NA,NA,NA
"PGA West (Palmer)","http://www.provisualizer.com/courses/pgawestpalmer.php","6","33.65549526555","-116.26948792695","-2.07979033397198","33.655775165578","-116.2749635275","8.74414403116226","33.65540436554","-116.27223382722","3.21443185836077","33.655474565547","-116.27011162701","-0.998397876149416"
